Nom,SKU ID,Description Marketing,Image,Fournisseur,Product ID,Plan ID,GUID,Facturation,Engagement,Apps incluses,Apps type,Prix
Microsoft Entra ID Gov Step-Up,Microsoft-Entra-ID-Gov-Step-Up-f,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Microsoft-Entra-ID-Gov-Step-U-n0,,Annuel,,,,
Microsoft Entra ID Gov Step-Up,Microsoft-Entra-ID-Gov-Step-Up-f,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Microsoft-Entra-ID-Gov-Step-U-n1,,Mensuel,,,,
Microsoft Entra ID Governance,Microsoft-Entra-ID-Governance-fo,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Microsoft-Entra-ID-Governance-n3,,Mensuel,,,,
Microsoft Entra ID Governance,Microsoft-Entra-ID-Governance-fo,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Microsoft-Entra-ID-Governance-n2,,Annuel,,,,
Microsoft Entra ID Gov Step-Up,MSFT-Entra-ID-Gov-Step-Up---MSFT,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,MSFT-Entra-ID-Gov-Step-Up---M-n0,,Mensuel,,,,
Microsoft Entra ID Gov Step-Up,MSFT-Entra-ID-Gov-Step-Up---MSFT,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,MSFT-Entra-ID-Gov-Step-Up---M-n1,,Annuel,,,,
Microsoft Entra ID Governance N7,Microsoft-Entra-ID-Governance-n7,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Microsoft-Entra-ID-Governance-n8,,Annuel,,,,
Microsoft Entra ID Governance N7,Microsoft-Entra-ID-Governance-n7,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,AzureActiveDirectory-isvfr,Microsoft-Entra-ID-Governance-n9,,Mensuel,,,,
Microsoft Viva,Microsoft-Viva,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSViva-isvfr,Monthly,,Mensuel,,,,
Microsoft Viva,Microsoft-Viva,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSViva-isvfr,Annual,,Annuel,,,,
